timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
23:40.8,5978,106 /add_staff.php,200,OK,AddStaff 6-184,text,TRUE,,2627,1313,23,144,4007,0,3376
23:40.8,8077,79 /display_customer.php,200,OK,AddCustomer 4-186,text,TRUE,,553841,970,24,140,958,0,444
23:40.8,950,58 /admin_hompage.php,200,OK,DeleteCustomer 3-197,text,TRUE,,4811,961,34,162,442,0,0
23:40.8,8189,65 /display_customer.php,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,DeleteCustomer 3-176,text,FALSE,,1468,0,29,93,3776,0,3365
23:40.9,6395,57 /adminlogin.php,200,OK,DeleteCustomer 3-188,text,TRUE,,7045,1646,33,141,1703,0,457
23:40.9,5408,89 /adminlogin.php,200,OK,DeleteStaff 5-224,text,TRUE,,7045,1646,20,147,3762,0,3348
23:41.0,984,12 /admin_hompage.php,200,OK,EditStaff 1-174,text,TRUE,,4811,961,26,162,460,0,0
23:41.1,5984,63 /delete_customer.php,200,OK,DeleteCustomer 3-189,text,TRUE,,553838,973,33,142,966,0,461
23:41.1,7980,108 /display_staff.php,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,AddStaff 6-186,text,FALSE,,6828,485,16,16,7117,0,3395
23:41.3,2093,62 /editcustomer.php,200,OK,DeleteCustomer 3-185,text,TRUE,,2623,1138,34,158,1347,0,0
23:41.3,946,94 /admin_hompage.php,200,OK,DeleteStaff 5-215,text,TRUE,,4811,965,25,162,504,0,0
23:41.4,5360,33 /display_customer.php,200,OK,EditCustomer 2-125,text,TRUE,,553840,970,22,144,519,0,0
